epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.329,1.04852,3.33482,0.93084,0.51924,0.65667,0.56457,0.39903,0.95652,1.27292,0.91036,0.000166562,0.000166562,0.000166562
2,298.21,1.00485,1.70317,0.93673,0.5997,0.74983,0.66744,0.48407,0.91428,1.00572,0.91685,0.000326631,0.000326631,0.000326631
3,444.188,0.99468,1.20892,0.93275,0.65711,0.77094,0.70359,0.50863,0.93134,0.87684,0.91842,0.0004801,0.0004801,0.0004801
4,589.625,0.9797,1.03291,0.93383,0.72906,0.77814,0.79965,0.57381,0.90672,0.77824,0.91054,0.0004703,0.0004703,0.0004703
5,734.076,0.95857,0.91154,0.92134,0.76963,0.78893,0.77825,0.557,0.90535,0.86885,0.90641,0.0004604,0.0004604,0.0004604
6,878.961,0.94008,0.85367,0.91384,0.81759,0.77534,0.84227,0.61378,0.88129,0.75195,0.89515,0.0004505,0.0004505,0.0004505
7,1023.37,0.92111,0.80123,0.90924,0.80075,0.84281,0.85591,0.63352,0.86002,0.70163,0.8879,0.0004406,0.0004406,0.0004406
8,1167.51,0.91695,0.76965,0.90339,0.80457,0.87493,0.89315,0.65364,0.87193,0.67451,0.88768,0.0004307,0.0004307,0.0004307
9,1311.93,0.91153,0.74783,0.90442,0.84024,0.85722,0.9059,0.66673,0.86031,0.65128,0.8872,0.0004208,0.0004208,0.0004208
10,1456.62,0.9023,0.72376,0.90035,0.79505,0.89963,0.89836,0.66502,0.85356,0.63384,0.88686,0.0004109,0.0004109,0.0004109
11,1601.26,0.90123,0.70777,0.90095,0.83862,0.86357,0.89251,0.66485,0.85412,0.61234,0.88374,0.000401,0.000401,0.000401
12,1745.74,0.89498,0.69557,0.89673,0.83928,0.87736,0.91301,0.68128,0.84006,0.5987,0.87811,0.0003911,0.0003911,0.0003911
13,1890.39,0.88051,0.6779,0.8925,0.86765,0.89025,0.93388,0.70257,0.83469,0.56497,0.87738,0.0003812,0.0003812,0.0003812
14,2035.03,0.88214,0.67033,0.896,0.856,0.90945,0.93244,0.70017,0.83288,0.56902,0.87486,0.0003713,0.0003713,0.0003713
15,2179.53,0.8743,0.65235,0.89322,0.85526,0.90744,0.92886,0.69909,0.82661,0.56514,0.87193,0.0003614,0.0003614,0.0003614
16,2324.17,0.87615,0.6534,0.89483,0.86318,0.91082,0.93378,0.70171,0.81921,0.55074,0.87058,0.0003515,0.0003515,0.0003515
17,2468.7,0.86576,0.63173,0.88582,0.85929,0.91734,0.94203,0.712,0.81661,0.546,0.87164,0.0003416,0.0003416,0.0003416
18,2613.42,0.86599,0.62079,0.8881,0.8874,0.90057,0.94186,0.71472,0.81815,0.53068,0.86859,0.0003317,0.0003317,0.0003317
19,2757.96,0.862,0.61913,0.8872,0.88,0.90141,0.94084,0.71309,0.81718,0.52876,0.86882,0.0003218,0.0003218,0.0003218
20,2902.02,0.85391,0.60477,0.88456,0.87231,0.91606,0.93921,0.71444,0.81292,0.53355,0.86747,0.0003119,0.0003119,0.0003119
21,3046.27,0.85221,0.59806,0.88278,0.88673,0.90913,0.94834,0.72072,0.81106,0.51663,0.86635,0.000302,0.000302,0.000302
22,3190.35,0.84537,0.59233,0.87963,0.87588,0.92299,0.94844,0.7278,0.806,0.50156,0.86721,0.0002921,0.0002921,0.0002921
23,3334.3,0.83562,0.57465,0.87771,0.89942,0.90613,0.94698,0.72668,0.80495,0.50081,0.86621,0.0002822,0.0002822,0.0002822
24,3479,0.83221,0.57452,0.8815,0.8803,0.93265,0.9491,0.72911,0.79846,0.5037,0.86229,0.0002723,0.0002723,0.0002723
25,3623.44,0.83295,0.5695,0.87722,0.89562,0.911,0.94802,0.72602,0.79624,0.49876,0.86274,0.0002624,0.0002624,0.0002624
26,3767.19,0.82821,0.56587,0.8743,0.89286,0.92042,0.94817,0.72935,0.79919,0.49116,0.86153,0.0002525,0.0002525,0.0002525
27,3911.5,0.8238,0.54949,0.87661,0.88784,0.9325,0.95627,0.73342,0.7899,0.48395,0.85878,0.0002426,0.0002426,0.0002426
28,4055.5,0.82257,0.54524,0.8773,0.89498,0.92329,0.95245,0.73137,0.79123,0.48063,0.862,0.0002327,0.0002327,0.0002327
29,4199.78,0.82311,0.5403,0.87331,0.89286,0.92422,0.95127,0.73296,0.78398,0.48078,0.85869,0.0002228,0.0002228,0.0002228
30,4343.84,0.81461,0.53625,0.8751,0.89338,0.92882,0.95285,0.7367,0.78297,0.47213,0.8602,0.0002129,0.0002129,0.0002129
31,4487.68,0.80997,0.53206,0.87422,0.90251,0.91911,0.95496,0.7391,0.77826,0.47247,0.85837,0.000203,0.000203,0.000203
32,4632.23,0.81204,0.53218,0.87439,0.89688,0.91584,0.95291,0.73805,0.77877,0.46969,0.8579,0.0001931,0.0001931,0.0001931
33,4776.28,0.80365,0.52474,0.87328,0.88617,0.93035,0.95675,0.74414,0.77595,0.46319,0.85798,0.0001832,0.0001832,0.0001832
34,4920.17,0.80506,0.51344,0.87103,0.90085,0.91647,0.95396,0.74038,0.77095,0.46645,0.8563,0.0001733,0.0001733,0.0001733
35,5064.33,0.80357,0.511,0.86994,0.90107,0.9218,0.95236,0.74166,0.77133,0.46509,0.85623,0.0001634,0.0001634,0.0001634
36,5208.53,0.79844,0.50439,0.86927,0.90477,0.92579,0.95596,0.74717,0.76735,0.45988,0.85468,0.0001535,0.0001535,0.0001535
37,5352.95,0.79137,0.50077,0.87058,0.90841,0.92105,0.95481,0.74659,0.76587,0.46708,0.85453,0.0001436,0.0001436,0.0001436
38,5497.08,0.78838,0.49222,0.86602,0.90033,0.92936,0.9565,0.74871,0.76376,0.46069,0.85347,0.0001337,0.0001337,0.0001337
39,5640.84,0.78713,0.48994,0.86845,0.90303,0.9226,0.95363,0.74801,0.76304,0.45477,0.85343,0.0001238,0.0001238,0.0001238
40,5785.4,0.78713,0.48048,0.86572,0.91184,0.91824,0.95191,0.744,0.76195,0.45627,0.85383,0.0001139,0.0001139,0.0001139
41,5922.2,0.78484,0.43498,0.86283,0.9051,0.92506,0.94994,0.74475,0.76098,0.45951,0.85336,0.000104,0.000104,0.000104
42,6058.65,0.78031,0.4245,0.86,0.90468,0.92803,0.95024,0.74446,0.76019,0.45894,0.85218,9.41e-05,9.41e-05,9.41e-05
43,6195.48,0.77822,0.42386,0.85964,0.91284,0.91958,0.94827,0.74469,0.75902,0.46028,0.85196,8.42e-05,8.42e-05,8.42e-05
44,6332.12,0.77673,0.41114,0.85711,0.90911,0.92395,0.94663,0.74501,0.75711,0.46395,0.8513,7.43e-05,7.43e-05,7.43e-05
45,6469.16,0.76997,0.40546,0.85675,0.91062,0.92005,0.94577,0.74492,0.7555,0.46397,0.85121,6.44e-05,6.44e-05,6.44e-05
46,6606.01,0.77064,0.40489,0.85526,0.91334,0.91728,0.94479,0.74334,0.75421,0.46548,0.85098,5.45e-05,5.45e-05,5.45e-05
47,6742.5,0.7655,0.39654,0.85941,0.91106,0.9201,0.94375,0.74302,0.75368,0.4662,0.8513,4.46e-05,4.46e-05,4.46e-05
48,6878.78,0.7629,0.39343,0.85594,0.91285,0.91991,0.94376,0.7431,0.7534,0.46598,0.8514,3.47e-05,3.47e-05,3.47e-05
49,7015.3,0.76072,0.38547,0.85412,0.91309,0.91864,0.94387,0.74291,0.75239,0.46679,0.85089,2.48e-05,2.48e-05,2.48e-05
50,7151.79,0.75542,0.38526,0.85481,0.90865,0.92035,0.94322,0.74233,0.75137,0.4681,0.85068,1.49e-05,1.49e-05,1.49e-05
